field_name,readable_name,temporal_role,factor_group,annual_processing_rule,recommended_source,annual_status,usable_years,decision_for_next_model,justification
elevation_m,Elevation,Static,Topography,Reuse fixed CPEC DEM-derived layer,Existing V3/local stack,static,2017-2024,Keep in annual maps,Terrain height controls slope process zones; fixed over study period.
slope_deg,Slope,Static,Topography,Reuse fixed DEM-derived slope,Existing V3/local stack,static,2017-2024,Keep in annual maps,Slope is a primary physical control on failure initiation.
aspect_deg,Aspect,Static,Topography,Reuse fixed DEM-derived aspect,Existing V3/local stack,static,2017-2024,Keep in annual maps,"Aspect controls radiation, snow/vegetation patterns, and weathering."
profile_curvature,Profile curvature,Static,Topography,Reuse official/local 30 m curvature,Local CPEC raster,static,2017-2024,Keep in annual maps,Controls flow acceleration and slope morphology.
plan_curvature,Plan curvature,Static,Topography,Reuse official/local 30 m curvature,Local CPEC raster,static,2017-2024,Keep in annual maps,Controls flow convergence/divergence.
tri,Terrain ruggedness index,Static,Topography,Reuse official/local TRI,Local CPEC raster,static,2017-2024,Keep in annual maps,Represents local terrain roughness and instability-prone relief.
twi,Topographic wetness index,Static,Hydrology/topography,Reuse DEM-derived TWI,Local CPEC raster,static,2017-2024,Keep in annual maps,Represents topographic moisture accumulation tendency.
valley_depth,Valley depth,Static,Topography,Reuse official/local valley depth,Local CPEC raster,static,2017-2024,Keep in annual maps,Captures incision and relief conditions around slopes.
lithology_code,Lithology,Static,Geology,Reuse official CPEC geology/lithology coding,Local CPEC vector/raster,static,2017-2024,Keep in annual maps,Geologic material controls slope strength and weathering.
soil_type,Soil type,Static,Soil/geology,Reuse local CPEC soil type,Local CPEC raster,static,2017-2024,Keep in annual maps,Soil texture/type affects infiltration and shear strength.
log1p_dist_fault_m,Distance to active faults,Static,Proximity/tectonics,Reuse full-CPEC fault distance,Local official fault vector,static,2017-2024,Keep in annual maps,Fault proximity captures tectonic fracturing and structural weakness.
log1p_dist_river_m,Distance to rivers/streams,Semi-static,Hydrology/proximity,Reuse official hydrography unless annual water network is added,Local official hydrography vector,fixed baseline,2017-2024,Keep fixed initially,River incision and toe erosion matter; current source is not annual.
log1p_dist_road_m,Distance to roads,Semi-static,Infrastructure/proximity,Reuse 2018 CPEC road network unless annual road expansion data is obtained,Local official 2018 road vector,fixed baseline,2017-2024,Keep fixed initially; run road-distance ablation later,"Road cuts and construction disturbance matter, but fixed 2018 roads avoid unsupported annual road change assumptions."
modis_lc_type1,Land-cover class,Annual,Land cover,Use annual MODIS MCD12Q1 LC_Type1; verify 2024 image in GEE,MODIS/061/MCD12Q1,annual,"2017-2024, with 2024 verification",Keep in annual maps,Annual land-cover change is a standard dynamic susceptibility factor.
rain_monsoon_total,Monsoon rainfall total,Annual,Rainfall,Sum CHIRPS daily rainfall over monsoon months,UCSB-CHG/CHIRPS/DAILY,annual,2017-2024,Keep in annual maps,Seasonal rainfall controls saturation and triggering susceptibility.
rain_max_1day,Maximum 1-day rainfall,Annual,Rainfall extreme,Maximum daily CHIRPS precipitation within calendar or monsoon year,UCSB-CHG/CHIRPS/DAILY,annual,2017-2024,Keep in annual maps,Extreme rainfall is a direct landslide-triggering proxy.
rain_annual_total,Annual rainfall total,Annual,Rainfall,Sum CHIRPS daily rainfall over year,UCSB-CHG/CHIRPS/DAILY,annual candidate,2017-2024,Candidate; VIF/ablation before final annual model,"Useful hydrologic background, but may be collinear with monsoon rainfall."
rain_max_3day,Maximum 3-day rainfall,Annual,Rainfall extreme,Rolling 3-day maximum CHIRPS precipitation,UCSB-CHG/CHIRPS/DAILY,annual candidate,2017-2024,Candidate; VIF/ablation before final annual model,Antecedent rainfall can better represent slope saturation.
rain_max_7day,Maximum 7-day rainfall,Annual,Rainfall extreme,Rolling 7-day maximum CHIRPS precipitation,UCSB-CHG/CHIRPS/DAILY,annual candidate,2017-2024,Candidate; VIF/ablation before final annual model,Longer rainfall accumulation supports dynamic susceptibility interpretation.
ndvi_median,Median NDVI,Annual,Vegetation,Median annual MODIS MOD13Q1 NDVI with QA screening,MODIS/061/MOD13Q1,annual,2017-2024,Keep in annual maps,Vegetation condition changes slope hydrology/root reinforcement proxies.
ndvi_amplitude,NDVI amplitude,Annual,Vegetation seasonality,Annual max-min MODIS MOD13Q1 NDVI,MODIS/061/MOD13Q1,annual,2017-2024,Keep in annual maps,Seasonality captures vegetation stress and phenological change.
ndvi_max,Maximum NDVI,Annual,Vegetation,Annual maximum MODIS MOD13Q1 NDVI,MODIS/061/MOD13Q1,annual candidate,2017-2024,Candidate; VIF/ablation before final annual model,May help interpret vegetation peak condition but can duplicate NDVI median/amplitude.
evi_median,Median EVI,Annual,Vegetation,Median annual MODIS MOD13Q1 EVI,MODIS/061/MOD13Q1,annual candidate,2017-2024,Candidate; VIF/ablation before final annual model,EVI can improve vegetation representation in dense canopy areas.
eq_density_ms5,Earthquake density,Semi-dynamic,Seismicity,Current V3 uses fixed 1970-2015 density; annual extension should test cumulative-to-year seismic density if data are extended,Local 1970-2015 earthquake data; USGS/GEM optional,fixed in V3; dynamic candidate,Fixed for 2017-2024 unless updated,Keep fixed initially; update later if post-2015 seismic catalog is added,Seismic shaking/fracturing is relevant but the current source is not annual after 2015.
A00-A63,AlphaEarth Embeddings,Annual,Foundation-model embeddings,Use all 64 annual embedding bands for each year,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,annual,2017-2024,Keep in AlphaEarth and fused branches,"Official annual 10 m, 64-dimensional embeddings represent surface conditions and cross-sensor context."
dynamic_world_probabilities,Dynamic World land-cover probabilities,Annual/near-real-time,Land-cover probabilities,"Aggregate annual class probabilities such as built, bare, snow/ice, water",GOOGLE/DYNAMICWORLD/V1,annual optional,2017-2024,"Optional V4/ablation, not in current V3 model",10 m class probabilities can add interpretable land-cover dynamics for recent years.
lst_day_mean_c,Mean daytime LST,Annual,Thermal,Annual mean MODIS MOD11A2 day LST after scaling and C conversion,MODIS/061/MOD11A2,annual candidate,2017-2024,Do not add blindly; V3 dropped LST due high VIF,Thermal regime may proxy snow/permafrost stress but was collinear in V3.
lst_day_max_c,Maximum daytime LST,Annual,Thermal extreme,Annual maximum MODIS MOD11A2 day LST,MODIS/061/MOD11A2,annual candidate,2017-2024,Do not add blindly; V3 dropped LST due high VIF,Thermal extremes may help but require collinearity check.
