factor,factor_name,missing_percent,initial_decision,reason
elevation_m,Elevation,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
slope_deg,Slope,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
aspect_deg,Aspect,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
rain_annual_total,Annual rainfall total,0.0,candidate_drop,Dropped if redundant with monsoon/extreme rainfall metrics; dynamic rainfall literature favors event/seasonal windows.
rain_monsoon_total,Monsoon rainfall total,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
rain_max_1day,Maximum 1-day rainfall,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
rain_max_3day,Maximum 3-day rainfall,0.0,candidate_drop,Dropped if highly collinear with 1-day/7-day rainfall.
rain_max_7day,Maximum 7-day rainfall,0.0,candidate_drop,Dropped if highly collinear with 1-day/3-day rainfall.
ndvi_median,NDVI median,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
ndvi_max,NDVI maximum,0.0,candidate_drop,Dropped if redundant with NDVI median/amplitude.
ndvi_amplitude,NDVI amplitude,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
evi_median,EVI median,0.0,candidate_drop,Dropped if redundant with NDVI median.
lst_day_mean_c,Mean daytime LST,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
lst_day_max_c,Maximum daytime LST,0.0,candidate_drop,Dropped if redundant with mean daytime LST.
modis_lc_type1,MODIS land cover,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
dist_road_m,Distance to roads,0.0,candidate_drop,Dropped in favor of log1p_dist_road_m to reduce extreme skew and avoid duplicate distance encoding.
log1p_dist_road_m,Distance to roads,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
dist_river_m,Distance to rivers/streams,0.0,candidate_drop,Dropped in favor of log1p_dist_river_m to reduce extreme skew and avoid duplicate distance encoding.
log1p_dist_river_m,Distance to rivers/streams,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
dist_fault_m,Distance to active faults,0.0,candidate_drop,Dropped in favor of log1p_dist_fault_m to reduce extreme skew and avoid duplicate distance encoding.
log1p_dist_fault_m,Distance to active faults,0.0,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
lithology_code,Lithology/geology class,0.15078407720144751,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
profile_curvature,Profile curvature,0.12062726176115801,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
plan_curvature,Plan curvature,0.12062726176115801,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
tri,Terrain ruggedness index,2.2919179734620023,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
twi,Topographic wetness index,0.12062726176115801,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
valley_depth,Valley depth,0.12062726176115801,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
relief,Relief,0.12062726176115801,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
ls_factor,LS factor,0.12062726176115801,candidate_drop,Dropped if too redundant with slope/relief/TWI terrain morphology.
soil_type,Soil type,0.3618817852834741,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
eq_density_ms5,Earthquake density > Ms5,0.12062726176115801,candidate_keep,Literature-supported v3 candidate; final retention depends on VIF/correlation and model evidence.
population_density,Population density,0.7840772014475271,exclude,"Excluded from susceptibility modelling because it is better treated as exposure/vulnerability, not a physical instability control."
night_lights,Night lights,100.0,exclude,Excluded before modelling because local samples are 100% missing.
dist_river_raster_m,Legacy river-distance raster,60.01206272617612,exclude,Excluded because 60% of samples are missing and vector-derived distance to rivers is complete.
